证券代码,证券简称,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
000972,ST中基,-1292.18,-78.68,-368.36,-587.84,99.24,-0.93
000973,佛塑科技,173.42,33.42,33.44,130.49,-33.07,0.74
000975,银泰资源,1419.14,55.0,51.75,206.08,822.57,2.01
000976,华铁股份,4293.96,29.01,-93.66,1320.24,335.16,0.89
000977,浪潮信息,317.23,96.89,120.0,-286.13,928.54,3.52
000978,桂林旅游,2198.91,23.37,10.6,2165.89,62.99,0.98
000979,中弘退,-12490.66,-48.9,80.69,-17405.08,1005.9,-0.30000000000000004
000980,众泰汽车,3219.18,40.08,32.73,336.22,3829.56,2.26
000981,银亿股份,283.45,82.28,91.63,12.99,53.87,2.76
000982,*ST 中绒,-7247.06,-202.76,-127.02,-9546.62,-57.63,-2.47
000983,西山煤电,2392.5,45.24,26.17,2122.66,143.66,2.85
000985,大庆华科,2149.93,23.34,30.98,1709.83,194.91,0.92
000987,越秀金控,502.24,58.9,79.27,-408.4,-55.9,3.38
000988,华工科技,443.26,65.3,60.76,218.67,368.92,2.46
000989,九 芝 堂,133.74,139.89,136.57,160.47,1017.2,6.48
000990,诚志股份,4980.6,27.42,21.62,-443.92,337.89,3.02
000993,闽东电力,-4289.46,22.93,42.71,-3015.51,-19.5,0.89
000995,*ST皇台,-17422.01,-492.84,-53.77,-34638.49,444.73,-1.6
000996,中国中期,429.79,30.15,26.62,401.06,-138.61,0.67
000997,新 大 陆,640.39,173.91,167.92,239.58,499.17,5.06
000998,隆平高科,188.68,95.92,119.5,-212.3,242.98,3.18
000999,华润三九,158.51,141.29,146.6,-53.08,255.6,12.06
002001,新 和 成,1518.49,131.66,104.43,848.22,420.8,9.83
002002,鸿达兴业,641.33,169.02,154.61,318.39,338.89,3.65
002003,伟星股份,242.56,121.77,116.49,96.98,156.86,5.08
002004,华邦健康,215.83,68.64,78.14,-163.71,329.06,3.14
002005,德豪润达,-4156.9,-23.21,-3.4,-4380.18,10.72,-0.86
002006,精功科技,2073.5,45.32,27.44,1907.09,163.5,0.96
002007,华兰生物,191.91,170.03,167.09,22.31,325.99,8.66
002008,大族激光,864.29,187.74,161.62,470.26,370.44,10.26
002009,天奇股份,311.6,51.9,48.44,711.07,267.8,2.7800000000000002
002010,传化智联,620.68,71.69,87.06,-42.33,828.69,2.15
002011,盾安环境,-172.06,21.81,28.11,-263.76,168.62,1.0
002012,凯恩股份,907.09,14.9,19.98,870.44,80.08,0.39
002013,中航机电,741.31,48.78,49.52,484.0,92.29,1.9
