,证券代码,证券简称,报告期,披露日期,本期净利润,上年同期净利润,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入本期,营业收入上年同期,营业收入增长率%,经营现金流,基本
48083,600409,三友化工,2018-06-30,2017/8/8,11.79亿,9.62亿,22.51,11.21,12.99,-13.7,99.88亿,99.89亿,-0.02,9.90亿,0.57
48084,600409,三友化工,2018-03-31,2017/4/26,4.38亿,5.10亿,-14.18,4.28,7.07,-39.46,47.26亿,51.21亿,-7.71,4.31亿,0.21
48085,600409,三友化工,2017-12-31,2017/4/13,18.89亿,7.63亿,147.63,22.31,11.47,94.51,201.96亿,157.57亿,28.17,14.74亿,0.97
48086,600409,三友化工,2017-09-30,2016/10/22,14.64亿,5.70亿,156.71,18.17,8.67,109.57,149.05亿,112.40亿,32.61,8.37亿,0.76
48087,600409,三友化工,2017-06-30,2016/8/9,9.62亿,2.94亿,227.48,12.99,4.63,180.56,99.89亿,73.46亿,35.99,6.10亿,0.52
48088,600409,三友化工,2017-03-31,2016/4/28,5.10亿,1.28亿,299.42,7.07,1.99,255.28,51.21亿,34.92亿,46.63,2.33亿,0.28
48089,600409,三友化工,2016-12-31,2016/3/31,7.63亿,4.13亿,84.89,11.47,6.62,73.26,157.57亿,136.94亿,15.06,13.44亿,0.41
48090,600409,三友化工,2016-09-30,2015/10/29,5.70亿,3.31亿,72.17,8.67,5.32,62.97,112.40亿,100.93亿,11.36,8.89亿,0.31
48091,600409,三友化工,2016-06-30,2015/8/26,2.94亿,1.90亿,55.01,4.63,3.07,50.81,73.46亿,65.07亿,12.88,5.54亿,0.16
48092,600409,三友化工,2016-03-31,2015/4/28,1.28亿,3800.65万,236.28,1.99,0.62,220.97,34.92亿,30.49亿,14.55,1.84亿,0.07
48093,600409,三友化工,2015-12-31,2015/4/28,4.13亿,4.77亿,-13.53,6.62,8.09,-18.17,136.94亿,126.95亿,7.87,9.83亿,0.22
48094,600409,三友化工,2015-09-30,2014/10/31,3.31亿,3.72亿,-10.91,5.32,6.3,-15.56,100.93亿,90.78亿,11.18,6.93亿,0.18
48095,600409,三友化工,2015-06-30,2014/8/29,1.90亿,1.57亿,20.77,3.07,2.67,14.98,65.07亿,58.96亿,10.36,4.39亿,0.1
48096,600409,三友化工,2015-03-31,2014/4/25,3800.65万,1.03亿,-63.06,0.62,1.78,-65.17,30.49亿,28.87亿,5.61,-722.76万,0.02
48154,600415,小商品城,2018-09-30,2017/10/17,13.59亿,12.37亿,9.85,11.39,11.2,1.7,26.20亿,89.37亿,-70.69,-3.46亿,0.25
48155,600415,小商品城,2018-06-30,2017/8/26,12.14亿,10.35亿,17.25,10.33,9.72,6.28,18.11亿,76.02亿,-76.18,-2.59亿,0.22
48156,600415,小商品城,2018-03-31,2017/4/29,7.23亿,6.80亿,6.28,6.27,6.46,-2.94,8.07亿,47.07亿,-82.85,-6.62亿,0.13
48157,600415,小商品城,2017-12-31,2017/3/30,14.59亿,10.60亿,37.64,13.68,10.81,26.55,100.17亿,70.38亿,42.33,2.74亿,0.27
48158,600415,小商品城,2017-09-30,2016/10/18,12.37亿,8.31亿,48.88,11.2,8.22,36.25,89.37亿,56.38亿,58.53,4.42亿,0.22
48159,600415,小商品城,2017-06-30,2016/8/27,10.35亿,5.74亿,80.24,9.72,5.74,69.34,76.02亿,42.96亿,76.95,1.14亿,0.19
48160,600415,小商品城,2017-03-31,2016/4/21,6.80亿,2.11亿,222.6,6.46,2.17,197.7,47.07亿,11.11亿,323.71,-8.43亿,0.12
48161,600415,小商品城,2016-12-31,2016/3/30,10.60亿,6.88亿,54.02,10.81,7.57,42.8,70.38亿,56.98亿,23.51,10.97亿,0.19
48162,600415,小商品城,2016-09-30,2015/10/22,8.31亿,3.81亿,117.83,8.22,4.23,94.33,56.38亿,26.14亿,115.7,-6.34亿,0.15
48163,600415,小商品城,2016-06-30,2015/8/31,5.74亿,2.21亿,160.0,5.74,2.47,132.39,42.96亿,16.86亿,154.88,-9.07亿,0.1
48164,600415,小商品城,2016-03-31,2015/4/30,2.11亿,1.22亿,72.87,2.17,1.37,58.39,11.11亿,8.51亿,30.48,-2.46亿,0.04
48165,600415,小商品城,2015-12-31,2015/3/28,6.88亿,4.09亿,68.33,7.57,4.69,61.41,56.98亿,38.43亿,48.26,68.26亿,0.13
48166,600415,小商品城,2015-09-30,2014/10/18,3.81亿,3.21亿,18.82,4.23,3.63,16.53,26.14亿,29.72亿,-12.05,31.70亿,0.07
48167,600415,小商品城,2015-06-30,2014/7/24,2.21亿,2.01亿,9.69,2.47,2.29,7.86,16.86亿,19.65亿,-14.23,7.02亿,0.04
48168,600415,小商品城,2015-03-31,2014/4/30,1.22亿,1.16亿,5.15,1.37,1.33,3.01,8.51亿,9.13亿,-6.75,-4.98亿,0.04
48257,600419,天润乳业,2018-09-30,2017/10/24,1.04亿,8632.67万,20.83,11.93,11.06,7.87,11.05亿,9.11亿,21.25,1.99亿,0.5
48258,600419,天润乳业,2018-06-30,2017/8/25,6967.82万,5985.32万,16.42,8.13,7.8,4.23,7.25亿,6.02亿,20.49,1.61亿,0.34
48259,600419,天润乳业,2018-03-31,2017/4/20,2806.11万,2357.78万,19.02,3.3,3.15,4.76,3.00亿,2.43亿,23.28,4703.58万,0.27
48260,600419,天润乳业,2017-12-31,2017/3/30,9912.65万,7827.33万,26.64,12.59,11.2,12.41,12.40亿,8.75亿,41.71,1.97亿,0.96
48261,600419,天润乳业,2017-09-30,2016/10/28,8632.67万,7464.53万,15.65,11.06,10.71,3.27,9.11亿,6.48亿,40.56,1.22亿,0.83
48262,600419,天润乳业,2017-06-30,2016/8/24,5985.32万,5105.35万,17.24,7.8,7.45,4.7,6.02亿,4.34亿,38.81,1.03亿,0.58
48263,600419,天润乳业,2017-03-31,2016/4/26,2357.78万,1924.17万,22.53,3.15,2.87,9.76,2.43亿,1.89亿,28.55,2953.57万,0.23
48264,600419,天润乳业,2016-12-31,2016/3/29,7827.33万,5086.08万,53.9,11.2,10.98,2.0,8.75亿,5.89亿,48.7,1.57亿,0.76
48265,600419,天润乳业,2016-09-30,2015/10/28,7464.53万,3580.90万,108.45,10.71,8.56,25.12,6.48亿,4.21亿,53.86,8414.91万,0.72
48266,600419,天润乳业,2016-06-30,2015/8/14,5105.35万,1982.83万,157.48,7.45,7.17,3.91,4.34亿,2.54亿,70.59,6412.96万,0.49
48267,600419,天润乳业,2016-03-31,2015/4/23,1924.17万,494.12万,289.42,2.87,2.18,31.65,1.89亿,8580.54万,120.48,2502.77万,0.19
48268,600419,天润乳业,2015-12-31,2015/3/20,5086.08万,1256.02万,304.94,10.98,4.83,127.33,5.89亿,3.27亿,80.26,1.01亿,0.49
48269,600419,天润乳业,2015-09-30,2014/10/28,3580.90万,1377.38万,159.98,8.56,5.68,50.7,4.21亿,2.60亿,61.83,7896.76万,0.35
48270,600419,天润乳业,2015-06-30,2014/8/21,1982.83万,903.83万,119.38,7.17,3.5,104.86,2.54亿,1.70亿,49.15,4976.96万,0.23
48826,600452,涪陵电力,2018-09-30,2017/10/14,2.11亿,1.80亿,17.21,17.1,18.21,-6.1,18.11亿,15.45亿,17.24,8959.16万,0.94
48827,600452,涪陵电力,2018-06-30,2017/7/28,1.23亿,1.10亿,12.58,10.3,11.5,-10.43,10.90亿,9.81亿,11.1,-7851.77万,0.55
48828,600452,涪陵电力,2018-03-31,2017/4/22,6211.39万,5520.15万,12.52,5.29,5.96,-11.24,5.16亿,4.78亿,7.87,-2029.45万,0.39
48829,600452,涪陵电力,2017-12-31,2017/3/31,2.26亿,1.68亿,34.82,22.32,22.23,0.4,20.60亿,16.65亿,23.73,6.97亿,1.42
48830,600452,涪陵电力,2017-09-30,2016/10/28,1.80亿,1.29亿,38.71,18.21,17.18,6.0,15.45亿,11.30亿,36.68,3.46亿,1.12
48831,600452,涪陵电力,2017-06-30,2016/7/29,1.10亿,7384.10万,48.48,11.5,10.4,10.58,9.81亿,6.61亿,48.45,9750.02万,0.69
48832,600452,涪陵电力,2017-03-31,2016/4/21,5520.15万,2399.10万,130.09,5.96,3.4,75.29,4.78亿,2.98亿,60.41,2064.55万,0.35
48833,600452,涪陵电力,2016-12-31,2016/3/30,1.68亿,1.86亿,-9.76,22.23,30.85,-27.94,16.65亿,12.50亿,33.22,3.44亿,1.05
48834,600452,涪陵电力,2016-09-30,2015/10/28,1.29亿,1.68亿,-22.78,17.18,28.12,-38.9,11.30亿,9.39亿,20.34,1.42亿,0.81
48835,600452,涪陵电力,2016-06-30,2015/8/7,7384.10万,1.36亿,-45.55,10.4,22.79,-54.37,6.61亿,6.03亿,9.61,5347.31万,0.46
48836,600452,涪陵电力,2016-03-31,2015/4/30,2399.10万,1.35亿,-82.27,3.4,22.77,-85.07,2.98亿,2.82亿,5.81,1840.77万,0.15
48837,600452,涪陵电力,2015-12-31,2015/4/3,1.86亿,7196.08万,158.62,30.85,15.38,100.59,12.50亿,12.69亿,-1.47,1.70亿,1.16
48838,600452,涪陵电力,2015-09-30,2014/10/31,1.68亿,5265.44万,218.42,28.12,11.56,143.25,9.39亿,9.16亿,2.53,1.77亿,1.05
48839,600452,涪陵电力,2015-06-30,2014/7/31,1.36亿,3545.58万,282.51,22.79,7.94,187.03,6.03亿,5.68亿,6.17,1.23亿,0.85
48840,600452,涪陵电力,2015-03-31,2014/4/24,1.35亿,1904.71万,610.37,22.77,4.34,424.65,2.82亿,2.66亿,5.88,5680.26万,0.85
48914,600458,时代新材,2018-09-30,2017/10/27,8569.77万,5236.68万,63.65,1.67,1.02,63.73,83.16亿,80.97亿,2.71,-1.47亿,0.11
48915,600458,时代新材,2018-06-30,2017/8/25,7753.93万,3254.40万,138.26,1.53,0.62,146.77,55.42亿,53.04亿,4.5,-2693.56万,0.1
48916,600458,时代新材,2018-03-31,2017/4/28,3374.35万,2092.31万,61.27,0.69,0.42,64.29,25.74亿,25.07亿,2.67,-2.54亿,0.04
48917,600458,时代新材,2017-12-31,2017/3/30,6922.39万,2.44亿,-71.59,1.41,5.09,-72.3,114.00亿,117.39亿,-2.9,-9056.23万,0.09
48918,600458,时代新材,2017-09-30,2016/10/27,5047.72万,2.04亿,-75.25,1.02,4.26,-76.06,79.85亿,82.65亿,-3.39,-4.70亿,0.06
48919,600458,时代新材,2017-06-30,2016/8/23,3073.38万,1.82亿,-83.12,0.62,3.81,-83.73,52.35亿,59.24亿,-11.63,-6325.68万,0.04
48920,600458,时代新材,2017-03-31,2016/4/27,2083.02万,6823.72万,-69.47,0.42,1.45,-71.03,24.81亿,30.24亿,-17.97,-4.85亿,0.03
48921,600458,时代新材,2016-12-31,2016/3/30,2.42亿,2.56亿,-5.32,5.09,8.33,-38.9,116.41亿,108.25亿,7.54,6.60亿,0.3
48922,600458,时代新材,2016-09-30,2015/10/30,2.04亿,2.25亿,-9.42,4.26,7.58,-43.8,82.65亿,82.32亿,0.4,1050.91万,0.25
48923,600458,时代新材,2016-06-30,2015/8/28,1.82亿,2.06亿,-11.74,3.81,7.07,-46.11,59.24亿,55.58亿,6.59,1.68亿,0.23
48924,600458,时代新材,2016-03-31,2015/4/30,6823.72万,1.73亿,-60.58,1.45,6.0,-75.83,30.24亿,28.78亿,5.08,-2.59亿,0.08
48925,600458,时代新材,2015-12-31,2015/3/28,2.56亿,7160.84万,256.91,8.33,1.45,474.48,108.25亿,60.08亿,80.18,2.71亿,0.39
48926,600458,时代新材,2015-09-30,2014/10/31,2.25亿,1.10亿,104.84,7.58,3.54,114.12,82.32亿,36.75亿,124.0,-4.18亿,0.34
48927,600458,时代新材,2015-06-30,2014/8/21,2.06亿,6074.77万,239.64,7.07,1.96,260.71,55.58亿,21.81亿,154.78,-1.14亿,0.31
48928,600458,时代新材,2015-03-31,2014/4/25,1.73亿,3016.40万,473.93,6.0,0.98,512.24,28.78亿,10.27亿,180.13,-1.39亿,0.26
48982,600460,士兰微,2018-09-30,2017/10/31,1.51亿,1.35亿,12.1,4.55,5.33,-14.63,22.12亿,20.16亿,9.74,1.48亿,0.12
48983,600460,士兰微,2018-06-30,2017/8/15,9531.26万,8442.55万,12.9,2.92,3.35,-12.84,14.37亿,12.98亿,10.7,-1055.39万,0.07
48984,600460,士兰微,2018-03-31,2017/4/29,3113.80万,3281.02万,-5.1,1.0,1.31,-23.66,6.51亿,5.89亿,10.48,-6315.23万,0.02
48985,600460,士兰微,2017-12-31,2017/3/7,1.69亿,9589.14万,76.75,6.65,3.93,69.21,27.42亿,23.75亿,15.44,3.52亿,0.14
48986,600460,士兰微,2017-09-30,2016/10/29,1.35亿,6063.77万,122.71,5.33,2.49,114.06,20.16亿,17.20亿,17.2,2.03亿,0.11
48987,600460,士兰微,2017-06-30,2016/8/23,8442.55万,2455.85万,243.77,3.35,1.02,228.43,12.98亿,10.56亿,22.9,9199.11万,0.07
48988,600460,士兰微,2017-03-31,2016/4/30,3281.02万,206.66万,1487.62,1.31,0.09,1355.56,5.89亿,4.32亿,36.35,-2549.57万,0.03
48989,600460,士兰微,2016-12-31,2016/4/8,9589.14万,3987.62万,140.47,3.93,1.67,135.33,23.75亿,19.26亿,23.29,3.82亿,0.08
48990,600460,士兰微,2016-09-30,2015/10/31,6063.77万,8472.45万,-28.43,2.49,3.48,-28.45,17.20亿,14.19亿,21.18,2.28亿,0.05
48991,600460,士兰微,2016-06-30,2015/8/18,2455.85万,6442.10万,-61.88,1.02,2.65,-61.51,10.56亿,9.42亿,12.12,8679.85万,0.02
48992,600460,士兰微,2016-03-31,2015/4/30,206.66万,2942.15万,-92.98,0.09,1.22,-92.62,4.32亿,4.20亿,2.71,715.82万,0.0
48993,600460,士兰微,2015-12-31,2015/3/10,3987.62万,1.64亿,-75.74,1.67,7.06,-76.35,19.26亿,18.70亿,3.02,2.02亿,0.03
48994,600460,士兰微,2015-09-30,2014/10/28,8472.45万,1.26亿,-32.7,3.48,5.45,-36.15,14.19亿,13.86亿,2.39,1.07亿,0.07
48995,600460,士兰微,2015-06-30,2014/8/19,6442.10万,6154.78万,4.67,2.65,2.7,-1.85,9.42亿,8.71亿,8.17,7921.07万,0.05
48996,600460,士兰微,2015-03-31,2014/4/30,2942.15万,2072.58万,41.96,1.22,0.92,32.61,4.20亿,3.78亿,11.19,-1750.64万,0.02
49105,600466,蓝光发展,2018-09-30,2017/10/31,12.20亿,5.48亿,122.64,8.91,5.2,71.35,142.78亿,108.88亿,31.13,-38.54亿,0.31
49106,600466,蓝光发展,2018-06-30,2017/8/30,6.20亿,2.83亿,118.84,4.14,2.51,64.94,80.09亿,64.39亿,24.38,-1.82亿,0.14
49107,600466,蓝光发展,2018-03-31,2017/4/26,3.02亿,1.19亿,152.79,2.1,1.29,62.79,33.26亿,33.05亿,0.62,-24.85亿,0.1
49108,600466,蓝光发展,2017-12-31,2017/4/26,13.66亿,8.96亿,52.49,12.81,9.86,29.92,245.53亿,213.29亿,15.12,75.54亿,0.57
49109,600466,蓝光发展,2017-09-30,2016/10/28,5.48亿,2.09亿,161.81,5.2,2.28,128.07,108.88亿,84.88亿,28.28,53.56亿,0.22
49110,600466,蓝光发展,2017-06-30,2016/8/25,2.83亿,2063.42万,1272.79,2.51,0.24,945.83,64.39亿,48.76亿,32.06,39.10亿,0.12
49111,600466,蓝光发展,2017-03-31,2016/4/29,1.19亿,-9614.80万,224.05,1.29,-1.09,218.35,33.05亿,10.75亿,207.55,1.84亿,0.06
49112,600466,蓝光发展,2016-12-31,2016/3/31,8.96亿,8.05亿,11.28,9.86,10.51,-6.18,213.29亿,175.98亿,21.2,-26.88亿,0.41
49113,600466,蓝光发展,2016-09-30,2015/10/30,2.09亿,-6341.92万,429.91,2.28,-0.9,353.33,84.88亿,68.05亿,24.73,-37.99亿,0.1
49114,600466,蓝光发展,2016-06-30,2015/8/15,2063.42万,-3.45亿,105.99,0.24,-5.34,104.49,48.76亿,35.10亿,38.92,-34.29亿,0.01
49115,600466,蓝光发展,2016-03-31,2015/4/30,-9614.80万,-1.02亿,5.52,-1.09,-1.76,38.07,10.75亿,12.47亿,-13.8,-33.36亿,-0.04
49116,600466,蓝光发展,2015-12-31,2015/4/30,8.05亿,8.70亿,-7.51,10.51,2.13,393.43,175.98亿,153.18亿,14.89,14.30亿,0.4
49117,600466,蓝光发展,2015-09-30,2014/10/30,-6341.92万,-4.28亿,85.18,-0.9,2.25,-140.0,68.05亿,24.22亿,180.98,-6.40亿,-0.03
49118,600466,蓝光发展,2015-06-30,2014/8/15,-3.45亿,-2.79亿,-23.73,-5.34,1.61,-431.68,35.10亿,15.22亿,130.64,-9.83亿,-0.17
49119,600466,蓝光发展,2015-03-31,2014/4/25,-1.02亿,-1.49亿,31.65,-1.76,0.58,-403.45,12.47亿,6.71亿,85.86,2.68亿,-0.05
49582,600485,信威集团,2018-09-30,2017/10/31,-8.23亿,4.30亿,-291.32,-8.59,3.58,-339.94,1.77亿,23.27亿,-92.39,-7295.14万,-0.28
49583,600485,信威集团,2018-06-30,2017/8/31,-4.49亿,7.27亿,-161.73,-4.59,5.97,-176.88,1.20亿,19.46亿,-93.86,-1.34亿,-0.15
49584,600485,信威集团,2018-03-31,2017/4/29,-4.93亿,-2.77亿,-77.71,-5.0,-0.02,-24900.0,5565.94万,8321.39万,-33.11,-1.40亿,-0.17
49585,600485,信威集团,2017-12-31,2017/4/29,-17.69亿,15.27亿,-215.84,-16.31,12.75,-227.92,6.47亿,30.88亿,-79.05,-7.45亿,-0.6
49586,600485,信威集团,2017-09-30,2016/10/29,4.30亿,14.21亿,-69.72,3.58,11.0,-67.45,23.27亿,28.27亿,-17.71,-6.80亿,0.15
49587,600485,信威集团,2017-06-30,2016/8/25,7.27亿,14.10亿,-48.45,5.97,10.91,-45.28,19.46亿,24.21亿,-19.65,-4.87亿,0.25
49588,600485,信威集团,2017-03-31,2016/4/30,-2.77亿,4.64亿,-159.77,-0.02,4.04,-100.5,8321.39万,9.43亿,-91.18,-2.32亿,-0.09
49589,600485,信威集团,2016-12-31,2016/4/27,15.27亿,19.01亿,-19.69,12.75,16.86,-24.38,30.88亿,35.74亿,-13.6,-37.19亿,0.52
49590,600485,信威集团,2016-09-30,2015/10/31,14.21亿,11.65亿,22.03,11.0,10.69,2.9,28.27亿,16.99亿,66.42,-28.77亿,0.49
49591,600485,信威集团,2016-06-30,2015/8/28,14.10亿,3.42亿,311.89,10.91,3.26,234.66,24.21亿,4.73亿,411.45,-17.23亿,0.48
49592,600485,信威集团,2016-03-31,2015/4/30,4.64亿,3.06亿,51.87,4.04,2.92,38.36,9.43亿,2.51亿,276.5,-11.36亿,0.16
49593,600485,信威集团,2015-12-31,2015/4/30,19.01亿,18.12亿,4.9,16.86,28.93,-41.72,35.74亿,31.57亿,13.22,-20.14亿,0.65
49594,600485,信威集团,2015-09-30,2014/10/31,11.65亿,303.71万,38254.79,10.69,0.06,17716.67,16.99亿,1.11亿,1434.31,-17.81亿,0.4
49595,600485,信威集团,2015-06-30,2014/8/30,3.42亿,179.97万,18924.34,3.26,0.97,236.08,4.73亿,6374.13万,642.77,-7.13亿,0.12
49596,600485,信威集团,2015-03-31,2014/4/26,3.06亿,-1137.56万,2787.2,2.92,-0.61,576.35,2.51亿,706.20万,3447.21,-2.82亿,0.1
49648,600487,亨通光电,2018-09-30,2017/10/30,21.07亿,16.71亿,26.1,18.79,23.37,-19.6,241.06亿,190.23亿,26.72,3.51亿,1.11
49649,600487,亨通光电,2018-06-30,2017/8/30,11.72亿,7.67亿,52.69,10.84,12.41,-12.65,152.72亿,114.13亿,33.81,5212.02万,0.62
49650,600487,亨通光电,2018-03-31,2017/4/28,4.82亿,2.78亿,73.48,4.61,4.62,-0.22,63.28亿,45.77亿,38.24,-7.79亿,0.35
49651,600487,亨通光电,2017-12-31,2017/4/22,21.09亿,13.16亿,60.2,26.88,25.16,6.84,259.50亿,193.01亿,34.45,2.94亿,1.63
49652,600487,亨通光电,2017-09-30,2016/10/31,16.71亿,10.48亿,59.48,23.37,20.31,15.07,190.23亿,134.54亿,41.4,-14.75亿,1.32
49653,600487,亨通光电,2017-06-30,2016/8/29,7.67亿,3.82亿,100.67,12.41,7.95,56.1,114.13亿,80.48亿,41.81,-7.51亿,0.62
49654,600487,亨通光电,2017-03-31,2016/4/30,2.78亿,1.15亿,141.94,4.62,2.46,87.8,45.77亿,33.24亿,37.68,-8.30亿,0.22
49655,600487,亨通光电,2016-12-31,2016/4/6,13.16亿,5.73亿,129.81,25.16,13.12,91.77,193.01亿,135.63亿,42.3,25.79亿,1.06
49656,600487,亨通光电,2016-09-30,2015/10/31,10.48亿,4.02亿,160.39,20.31,9.37,116.76,134.54亿,97.22亿,38.38,3339.18万,0.84
49657,600487,亨通光电,2016-06-30,2015/8/25,3.82亿,1.41亿,171.95,7.95,3.4,133.82,80.48亿,54.16亿,48.61,8139.63万,0.31
49658,600487,亨通光电,2016-03-31,2015/4/30,1.15亿,5016.63万,128.8,2.46,1.22,101.64,33.24亿,19.38亿,71.58,-4.94亿,0.09
49659,600487,亨通光电,2015-12-31,2015/4/15,5.73亿,3.44亿,66.44,13.12,9.13,43.7,135.63亿,104.20亿,30.17,11.57亿,0.46
49660,600487,亨通光电,2015-09-30,2014/10/31,4.02亿,2.49亿,61.42,9.37,6.93,35.21,97.22亿,70.62亿,37.66,1094.28万,0.32
49661,600487,亨通光电,2015-06-30,2014/8/26,1.41亿,8647.75万,62.62,3.4,2.6,30.77,54.16亿,40.28亿,34.46,196.99万,0.34
49662,600487,亨通光电,2015-03-31,2014/4/30,5016.63万,4241.85万,18.27,1.22,1.55,-21.29,19.38亿,15.96亿,21.39,-1.42亿,0.12
49749,600490,鹏欣资源,2018-09-30,2017/10/14,2.98亿,2.22亿,34.18,5.38,5.75,-6.43,107.06亿,40.42亿,164.88,3.81亿,0.15
49750,600490,鹏欣资源,2018-06-30,2017/8/18,1.74亿,1.06亿,63.87,3.16,1.95,61.77,62.01亿,19.06亿,225.4,4.88亿,0.09
49751,600490,鹏欣资源,2018-03-31,2017/4/26,8620.56万,8427.76万,2.29,1.53,2.12,-27.83,25.91亿,8.44亿,207.05,2.32亿,0.05
49752,600490,鹏欣资源,2017-12-31,2017/4/8,3.01亿,5149.29万,484.99,5.61,1.46,284.25,60.56亿,25.60亿,136.57,3.72亿,0.16
49753,600490,鹏欣资源,2017-09-30,2016/10/26,2.38亿,4859.43万,389.9,5.75,2.74,109.85,40.42亿,20.27亿,99.37,5.21亿,0.13
49754,600490,鹏欣资源,2017-06-30,2016/8/20,1.13亿,1891.18万,498.35,1.95,0.97,101.96,19.06亿,13.49亿,41.23,3.84亿,0.06
49755,600490,鹏欣资源,2017-03-31,2016/4/23,8427.76万,2953.03万,185.39,2.12,1.66,27.71,8.44亿,5.89亿,43.34,1.25亿,0.05
49756,600490,鹏欣资源,2016-12-31,2016/4/23,5149.29万,1962.04万,162.45,1.46,1.2,21.67,25.60亿,17.88亿,43.18,4.13亿,0.03
49757,600490,鹏欣资源,2016-09-30,2015/10/31,4859.43万,3712.05万,30.91,2.74,3.84,-28.65,20.27亿,13.32亿,52.15,2.47亿,0.03
49758,600490,鹏欣资源,2016-06-30,2015/8/25,1891.18万,4477.88万,-57.77,0.97,2.69,-64.01,13.49亿,8.45亿,59.71,1.17亿,0.01
49759,600490,鹏欣资源,2016-03-31,2015/4/29,2953.03万,1483.65万,99.04,1.66,0.9,84.44,5.89亿,4.02亿,46.42,4309.79万,0.02
49760,600490,鹏欣资源,2015-12-31,2015/4/28,1962.04万,6213.03万,-68.42,1.2,1.98,-39.39,17.88亿,21.56亿,-17.05,3.94亿,0.01
49761,600490,鹏欣资源,2015-09-30,2014/10/25,4458.71万,5300.55万,-15.88,3.84,3.44,11.63,13.70亿,18.89亿,-27.44,3.82亿,0.03
49762,600490,鹏欣资源,2015-06-30,2014/8/23,4477.88万,4143.77万,8.06,2.69,2.7,-0.42,8.45亿,12.97亿,-34.86,3.91亿,0.03
49763,600490,鹏欣资源,2015-03-31,2014/4/29,1483.65万,3838.72万,-61.35,0.9,2.5,-64.0,4.02亿,7.01亿,-42.66,8771.55万,0.01
50123,600503,华丽家族,2018-09-30,2017/10/28,3603.87万,1.12亿,-67.95,1.0,2.65,-62.26,2.69亿,11.40亿,-76.38,6.60亿,0.02
50124,600503,华丽家族,2018-06-30,2017/8/26,1139.37万,6324.60万,-81.99,0.32,1.49,-78.52,2.14亿,7.11亿,-69.83,1.34亿,0.01
50125,600503,华丽家族,2018-03-31,2017/4/28,961.93万,8668.35万,-88.9,0.27,2.04,-86.76,1.44亿,6.83亿,-78.9,-7617.44万,0.01
50126,600503,华丽家族,2017-12-31,2017/4/28,2.25亿,1.05亿,113.63,6.45,3.49,84.81,21.10亿,9.60亿,119.7,-4.49亿,0.14
50127,600503,华丽家族,2017-09-30,2016/10/29,1.12亿,1.20亿,-6.26,2.65,3.4,-22.06,11.40亿,5.56亿,105.19,-3.87亿,0.07
50128,600503,华丽家族,2017-06-30,2016/8/27,6324.60万,8385.90万,-24.58,1.49,2.36,-36.86,7.11亿,4.31亿,64.84,-3.02亿,0.04
50129,600503,华丽家族,2017-03-31,2016/4/29,8668.35万,1013.30万,755.46,2.04,0.33,518.18,6.83亿,1.48亿,361.44,-2.83亿,0.05
50130,600503,华丽家族,2016-12-31,2016/4/29,1.29亿,2125.62万,505.97,3.49,0.59,491.53,9.56亿,4.30亿,122.21,9.75亿,0.08
50131,600503,华丽家族,2016-09-30,2015/10/31,1.25亿,1652.75万,658.14,3.4,0.46,639.13,5.55亿,1.43亿,286.92,10.58亿,0.08
50132,600503,华丽家族,2016-06-30,2015/8/11,8664.65万,1193.04万,626.27,2.36,0.33,615.15,4.31亿,5157.63万,735.49,9.67亿,0.05
50133,600503,华丽家族,2016-03-31,2015/4/30,1206.22万,280.02万,330.76,0.33,0.08,312.5,1.48亿,1822.68万,711.35,3.40亿,0.01
50134,600503,华丽家族,2015-12-31,2015/4/10,2125.62万,1981.54万,7.27,0.59,0.83,-28.92,4.30亿,4.12亿,4.43,6.37亿,0.01
50135,600503,华丽家族,2015-09-30,2014/10/31,1652.75万,182.22万,807.03,0.46,0.09,411.11,1.43亿,3.19亿,-55.03,3.92亿,0.01
50136,600503,华丽家族,2015-06-30,2014/8/30,1193.04万,617.00万,93.36,0.33,0.31,6.45,5157.63万,2.66亿,-80.61,1.17亿,0.01
50137,600503,华丽家族,2015-03-31,2014/4/29,280.02万,46.97万,496.15,0.08,0.02,300.0,1822.68万,1.29亿,-85.82,-1.31亿,0.0
50226,600507,方大特钢,2018-12-31,2018/2/9,29.27亿,25.40亿,15.26,58.17,67.67,-14.04,172.86亿,139.45亿,23.96,35.73亿,2.08
50227,600507,方大特钢,2018-09-30,2017/10/24,23.15亿,15.40亿,50.35,48.68,46.53,4.62,127.82亿,101.27亿,26.22,29.02亿,1.66
50228,600507,方大特钢,2018-06-30,2017/8/19,13.06亿,7.05亿,85.35,28.98,26.41,9.73,82.38亿,62.72亿,31.36,9.40亿,0.96
50229,600507,方大特钢,2018-03-31,2017/4/22,5.57亿,2.85亿,95.68,10.83,10.2,6.18,38.63亿,27.56亿,40.15,2.37亿,0.42
50230,600507,方大特钢,2017-12-31,2017/4/22,25.40亿,6.66亿,281.4,67.67,28.51,137.36,139.45亿,89.24亿,56.27,25.54亿,1.92
50231,600507,方大特钢,2017-09-30,2016/10/25,15.40亿,4.63亿,232.56,46.53,20.69,124.89,101.27亿,60.35亿,67.8,15.74亿,1.16
50232,600507,方大特钢,2017-06-30,2016/8/13,7.05亿,2.59亿,172.18,26.41,12.25,115.59,62.72亿,37.93亿,65.37,8.47亿,0.53
