证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
600064,182.16,73.26,67.33,112.92,122.96,8.37
600066,185.98,265.31,270.88,-1.47,156.45,15.35
600067,281.1,161.04,167.69,82.62,84.06,5.43
600068,216.88,136.37,135.96,24.14,191.88,5.11
600069,-3281.65,-90.91,-91.05,-3309.93,47.59,-1.51
600070,1182.58,81.47,75.66,978.55,156.39,2.81
600071,-1212.89,-17.48,-20.63,-1340.74,14.57,-0.33
600072,-252.25,-5.0,1.26,-344.65,-47.37,-0.06
600073,-1166.35,42.67,35.05,1242.78,266.88,1.44
600074,-892.78,-15.77,-41.91,-656.28,211.7,-0.2
600075,1289.79,31.51,22.17,1632.09,-27.21,1.46
600076,852.17,18.01,-39.86,394.19,122.66,1.27
600077,-21.02,51.59,40.48,265.81,128.68,1.45
600078,84.91,21.91,26.88,60.24,6.14,0.56
600079,470.6,112.48,103.11,139.89,327.54,6.74
600080,778.93,45.2,32.94,681.56,60.38,1.34
600081,603.33,165.22,134.39,393.28,204.44,3.87
600082,-936.76,18.65,26.7,-965.88,-8.42,0.47000000000000003
600083,396.47,89.63,51.33,295.63,601.56,0.16
600084,-986.62,-16.8,-6.49,-1129.54,6.36,-0.25
600085,150.0,116.95,113.81,33.59,133.58,5.14
600086,768.42,117.38,111.52,451.2,353.39,2.19
600087,-4658.23,-43.52,-1.35,-4090.65,81.82,-0.6000000000000001
600088,-395.13,42.26,41.0,-453.65,-2.08,1.3900000000000001
600089,110.63,107.22,126.95,-92.34,125.96,5.44
600090,1126.72,84.0,102.97,1169.44,54.49,1.49
600091,-2315.07,-152.87,-164.88,-2893.21,410.39,-3.84
600093,1895.74,68.38,38.42,937.67,1458.65,2.15
600094,226.95,100.19,100.18,180.57,229.56,2.16
600095,-685.57,9.75,8.41,-737.77,-11.62,0.2
600096,-3906.14,-88.27,-74.82,-4417.83,31.4,-4.3
600097,4488.72,262.08,311.91,3932.22,289.8,8.61
600099,487.62,3.94,4.4,486.0,62.05,0.07
600101,83.37,80.93,85.71,-0.49,107.46,3.66
600102,-13.31,3.7199999999999998,6.01,-35.64,13.6,0.23
600103,-6300.51,-31.9,-34.84,-7084.16,45.97,-0.42
600104,1092.63,175.12,160.08,851.46,248.34,19.68
600105,1864.59,84.07,75.54,1653.75,120.77,3.02
600106,209.85,93.75,92.23,97.34,-27.22,2.99
600107,48.27,17.57,19.59,46.84,44.38,0.24
600108,165.84,45.47,47.48,73.08,25.13,0.9
600109,234.39,100.83,124.68,-21.56,206.1,3.65
600110,-4059.87,4.24,-2.2800000000000002,-4439.41,127.18,0.07
600111,1653.46,187.67,193.7,1119.73,233.01,5.64
600112,-974.67,21.52,32.79,-1122.54,54.59,0.35000000000000003
600113,90.44,93.51,82.88,398.61,130.26,1.77
600114,750.73,77.06,66.58,553.0,108.91,3.01
600115,709.88,148.28,153.03,62.14,118.64,2.8
600116,228.64,88.74,85.38,48.66,82.4,3.21
600117,-3449.45,-55.79,-57.16,-5453.01,19.05,-1.23
600118,159.08,162.72,172.02,-83.22,244.32,5.5
600120,271.54,103.7,103.1,52.81,91.8,7.83
600121,-870.11,20.94,12.52,-915.21,59.82,0.5700000000000001
600122,145.37,54.04,58.03,-25.91,57.49,3.18
600123,-6897.98,106.46,134.97,-5419.73,71.07,10.11
600125,29.24,91.72,98.07,-51.21,250.93,2.8
600126,-9694.98,-9.28,-19.61,-11981.79,-39.94,0.24
600127,-2299.71,-24.89,-56.61,-2580.99,92.75,-0.28
600128,1.99,37.7,40.34,-33.46,46.71,2.08
600129,-3495.23,47.46,41.57,-3536.8,59.82,1.38
600130,-320.03,38.65,30.09,-413.16,66.21,0.36
600131,199.87,80.02,32.15,104.02,87.1,1.29
600132,270.54,120.74,108.95,230.6,43.47,3.16
600133,-2505.89,53.71,19.54,-2838.15,258.46,1.97
600135,-1499.44,11.64,8.26,-1594.7,105.44,0.46
600136,5515.46,87.54,122.09,677.25,590.88,1.51
600137,-1047.75,39.15,60.98,-1195.95,106.54,1.54
600138,230.55,96.18,92.26,85.33,102.22,5.77
600139,-6878.1,26.42,217.15,-9603.44,261.67,0.66
600141,857.87,74.51,99.07,574.25,202.68,4.44
600143,129.37,101.75,104.42,37.27,132.16,2.84
600145,-5241.65,-109.82,-122.97,-3692.27,2525.81,-0.47000000000000003
600146,-4263.61,-116.04,-122.52,-5835.67,3033.58,-0.6000000000000001
600148,1394.23,37.37,36.56,1341.06,73.79,0.9
600149,-2870.44,-110.22,-122.57,-3527.82,508.66,-1.11
600150,-4256.93,19.08,73.24,-4760.7,-54.19,6.39
600151,-5775.34,-9.81,-2.23,-5190.57,251.18,-0.35000000000000003
600152,-369.31,-27.55,-28.81,-430.08,-124.14,-0.56
600153,138.38,194.73,192.26,60.33,207.14,8.86
600155,282.39,87.85,-2141.4,110.21,-9.56,0.33
600156,-286.27,-1.01,13.77,340.35,-18.17,-0.04
600157,954.37,76.23,74.47,788.23,422.57,2.2800000000000002
600158,-23.23,53.15,67.55,-57.93,10.14,0.84
600159,15122.86,63.68,62.92,13468.43,1241.13,1.72
600160,963.31,108.91,104.65,707.52,108.8,4.5600000000000005
600161,2803.5,167.29,146.23,2451.84,69.04,5.05
600162,524.86,101.25,111.06,327.65,117.24,2.02
600163,-16937.53,-244.0,-253.09,-19312.89,-62.73,-2.58
600165,-898.25,-28.54,-31.97,-1238.89,78.59,-0.59
600166,112.3,98.87,112.32,-128.91,75.22,4.63
600167,447.83,149.8,135.18,306.89,181.29,5.86
600170,136.14,106.57,104.01,39.21,121.88,5.17
600171,-2279.62,12.56,4.12,-2307.89,15.02,0.37
600172,323.8,66.71,63.71,158.91,170.2,2.7199999999999998
600173,574.13,106.54,110.97,359.49,163.65,2.14
600175,244.45,46.49,55.56,-96.86,182.71,0.88
600176,374.2,102.01,101.48,147.16,93.1,4.45
600177,93.0,144.7,156.27,31.01,10.73,9.76
600178,-848.73,-2.11,4.24,-1014.89,76.03,-0.1
600179,-5453.47,-272.04,-85.02,-9072.5,37.93,-1.71
600180,99.69,132.88,116.43,1738.88,326.01,3.32
600182,13877.64,352.64,340.18,11652.42,71.72,8.06
600183,320.0,131.54,117.82,214.75,107.66,3.94
600184,-5620.33,13.74,14.0,-5386.01,-6.03,0.4
600185,747.08,136.5,-30.11,294.33,421.53,6.07
600187,72.77,47.54,66.38,-114.19,181.32,0.66
600188,350.4,106.31,119.02,249.12,211.97,8.18
600189,377.83,22.5,24.91,439.95,-56.54,0.96
600190,119.32,34.15,42.87,-8.84,223.02,0.86
600191,1051.61,10.66,3.43,892.84,351.65,0.43
600192,2953.42,25.41,24.47,2690.22,35.28,0.96
